epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.501,0.4666,0.82609,0.74094,0.93912,0.96157,0.98076,0.98928,0.90117,0.96157,0.98076,0.98934,0.88304,0.41198,0.86494,0.49003,0.88987,0.000664,0.000664,0.000664
2,206.061,0.41317,0.61235,0.41051,0.90753,0.99255,0.99445,0.9948,0.93774,0.99298,0.99415,0.99481,0.9269,0.3457,0.55183,0.29494,0.85192,0.0012648,0.0012648,0.0012648
3,304.449,0.39809,0.56663,0.35522,0.90216,0.96407,0.97077,0.99104,0.92517,0.96414,0.97188,0.99109,0.90848,0.36982,0.6367,0.36026,0.87992,0.0017996,0.0017996,0.0017996
4,401.592,0.36747,0.53051,0.31641,0.88964,0.99673,0.99889,0.995,0.96898,0.99694,0.99889,0.995,0.94361,0.26592,0.48933,0.21586,0.81971,0.001703,0.001703,0.001703
5,497.922,0.33907,0.46949,0.28792,0.88061,0.99852,0.99852,0.99499,0.97259,0.99852,0.99852,0.99499,0.95503,0.25602,0.42288,0.20154,0.81491,0.001604,0.001604,0.001604
6,595.853,0.32205,0.45223,0.27049,0.87595,0.99924,0.99963,0.995,0.97876,0.99924,0.99963,0.995,0.96463,0.23036,0.36026,0.17613,0.8069,0.001505,0.001505,0.001505
7,695.264,0.30286,0.41282,0.25247,0.87015,0.99923,0.99963,0.995,0.98476,0.99923,0.99963,0.995,0.97035,0.21283,0.33494,0.16982,0.79658,0.001406,0.001406,0.001406
8,795.334,0.28867,0.39515,0.24275,0.86479,0.99741,0.99823,0.99497,0.9831,0.99741,0.99823,0.99497,0.96493,0.21262,0.3423,0.17625,0.79749,0.001307,0.001307,0.001307
9,889.495,0.28035,0.39434,0.23553,0.86223,0.99921,1,0.995,0.9853,0.99921,1,0.995,0.96447,0.19803,0.33409,0.15386,0.79419,0.001208,0.001208,0.001208
10,983.555,0.27343,0.37161,0.22626,0.86007,0.99852,0.99958,0.995,0.98509,0.99852,0.99958,0.995,0.97035,0.19743,0.31837,0.15406,0.79281,0.001109,0.001109,0.001109
11,1096.56,0.22778,0.31861,0.19116,0.82503,0.99889,0.99906,0.99499,0.98503,0.99815,0.9996,0.99499,0.97504,0.2183,0.30047,0.17265,0.797,0.00101,0.00101,0.00101
12,1189.07,0.21906,0.30922,0.18218,0.81561,0.99918,0.99963,0.995,0.98897,0.99918,0.99963,0.995,0.98079,0.19406,0.26559,0.14611,0.78622,0.000911,0.000911,0.000911
13,1282.08,0.2024,0.28146,0.1663,0.8102,0.99886,1,0.995,0.98903,0.99886,1,0.995,0.97798,0.1933,0.28391,0.14688,0.78776,0.000812,0.000812,0.000812
14,1374.72,0.19404,0.27296,0.16042,0.80795,0.99989,1,0.995,0.98975,0.99989,1,0.995,0.98094,0.18707,0.25935,0.14108,0.78348,0.000713,0.000713,0.000713
15,1467.29,0.18548,0.26029,0.15324,0.80886,0.9996,1,0.995,0.99113,0.9996,1,0.995,0.98425,0.16568,0.24112,0.12814,0.77883,0.000614,0.000614,0.000614
16,1560.01,0.17291,0.24621,0.14382,0.80277,0.99962,1,0.995,0.99234,0.99962,1,0.995,0.98392,0.15636,0.24714,0.12101,0.77648,0.000515,0.000515,0.000515
17,1652.76,0.1639,0.23565,0.13731,0.79793,0.99996,1,0.995,0.99287,0.99996,1,0.995,0.98623,0.14696,0.21949,0.11378,0.77296,0.000416,0.000416,0.000416
18,1745.27,0.15469,0.22282,0.1275,0.79781,1,0.99999,0.995,0.99333,1,0.99999,0.995,0.98647,0.12919,0.21451,0.10264,0.76956,0.000317,0.000317,0.000317
19,1837.88,0.14449,0.21082,0.11937,0.79544,0.99998,1,0.995,0.99303,0.99998,1,0.995,0.98704,0.13539,0.21575,0.10229,0.77047,0.000218,0.000218,0.000218
20,1932.83,0.13821,0.20543,0.11503,0.78893,1,0.99999,0.995,0.99316,1,0.99999,0.995,0.98688,0.13205,0.21027,0.09904,0.76886,0.000119,0.000119,0.000119
