epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.9362,0.30059,0.2665,0.71933,0.88456,0.99974,0.999,0.995,0.96352,0.99974,0.999,0.995,0.99376,0.31571,0.08001,0.66892,0.87232,0.000664,0.000664,0.000664
2,184.714,0.2923,0.10534,0.34862,0.87107,0.99983,1,0.995,0.97225,0.99983,1,0.995,0.995,0.26714,0.04643,0.28203,0.82417,0.00124284,0.00124284,0.00124284
3,274.512,0.27829,0.08336,0.27247,0.8669,0.99982,1,0.995,0.99441,0.99982,1,0.995,0.995,0.18431,0.04214,0.27232,0.79739,0.00173369,0.00173369,0.00173369
4,364.104,0.25514,0.07926,0.23813,0.85886,0.99993,1,0.995,0.99478,0.99993,1,0.995,0.99491,0.1533,0.04102,0.14845,0.78366,0.001604,0.001604,0.001604
5,453.904,0.23513,0.08281,0.2145,0.85582,0.99994,1,0.995,0.99461,0.99994,1,0.995,0.995,0.17908,0.03016,0.16472,0.79198,0.001472,0.001472,0.001472
6,560.685,0.20528,0.05,0.19624,0.81538,0.99979,1,0.995,0.995,0.99979,1,0.995,0.995,0.16266,0.02884,0.17238,0.78506,0.00134,0.00134,0.00134
7,643.115,0.16682,0.04163,0.15535,0.79646,0.99979,1,0.995,0.995,0.99979,1,0.995,0.995,0.11606,0.02872,0.12169,0.76845,0.001208,0.001208,0.001208
8,725.297,0.14629,0.03814,0.13748,0.79786,0.99995,1,0.995,0.995,0.99995,1,0.995,0.995,0.11301,0.02422,0.10987,0.77049,0.001076,0.001076,0.001076
9,807.499,0.12967,0.03668,0.1253,0.79039,0.99995,1,0.995,0.995,0.99995,1,0.995,0.995,0.10608,0.02335,0.1015,0.76695,0.000944,0.000944,0.000944
10,889.659,0.12177,0.03668,0.11769,0.78674,0.99994,1,0.995,0.995,0.99994,1,0.995,0.995,0.09313,0.02307,0.11317,0.76642,0.000812,0.000812,0.000812
11,971.751,0.10794,0.03504,0.10785,0.78394,0.99993,1,0.995,0.995,0.99993,1,0.995,0.995,0.08253,0.02152,0.09115,0.76293,0.00068,0.00068,0.00068
12,1054.57,0.09565,0.03351,0.0985,0.77871,0.99994,1,0.995,0.995,0.99994,1,0.995,0.995,0.07356,0.02028,0.07872,0.76229,0.000548,0.000548,0.000548
13,1137.27,0.0872,0.03129,0.08934,0.7775,0.99995,1,0.995,0.995,0.99995,1,0.995,0.995,0.06269,0.02036,0.0698,0.76012,0.000416,0.000416,0.000416
14,1219.81,0.07682,0.02999,0.0815,0.77579,0.99995,1,0.995,0.995,0.99995,1,0.995,0.995,0.05559,0.01971,0.06255,0.75863,0.000284,0.000284,0.000284
15,1302.18,0.06627,0.02909,0.0713,0.77708,0.99995,1,0.995,0.995,0.99995,1,0.995,0.995,0.04503,0.0196,0.05294,0.75798,0.000152,0.000152,0.000152
