epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,763.226,0.31386,0.48933,0.38496,0.8775,0.99897,0.99893,0.99499,0.98517,0.99902,0.99898,0.99499,0.9565,0.19979,0.34213,0.1695,0.79669,0.000666333,0.000666333,0.000666333
2,1490.72,0.26447,0.34984,0.22693,0.85705,0.99953,0.99883,0.995,0.98964,0.99953,0.99883,0.995,0.97019,0.17178,0.27582,0.14429,0.78586,0.00126702,0.00126702,0.00126702
3,2272.09,0.23986,0.31133,0.20539,0.84915,1,0.99952,0.995,0.99266,1,0.99952,0.995,0.98366,0.13947,0.21873,0.11818,0.77558,0.0018017,0.0018017,0.0018017
4,3019.37,0.22161,0.2904,0.19057,0.84466,0.99995,0.99948,0.995,0.99339,0.99995,0.99948,0.995,0.98424,0.11764,0.20988,0.10181,0.76989,0.001703,0.001703,0.001703
5,3758.28,0.2052,0.26755,0.17771,0.8413,1,0.99952,0.995,0.99427,1,0.99952,0.995,0.98706,0.10765,0.18206,0.09468,0.76591,0.001604,0.001604,0.001604
6,4487.31,0.19152,0.2487,0.16567,0.83758,0.99994,0.99953,0.995,0.99444,0.99994,0.99953,0.995,0.98681,0.09459,0.17361,0.08374,0.763,0.001505,0.001505,0.001505
7,5212.31,0.18334,0.23735,0.15817,0.83538,0.99981,0.99956,0.995,0.99464,0.99981,0.99956,0.995,0.98893,0.08895,0.15778,0.08023,0.76163,0.001406,0.001406,0.001406
8,5928,0.17558,0.22416,0.15152,0.83405,0.99995,0.99976,0.995,0.9948,0.99995,0.99976,0.995,0.9899,0.08403,0.14377,0.07822,0.76035,0.001307,0.001307,0.001307
9,6641.21,0.16963,0.21513,0.14635,0.83256,1,0.99957,0.995,0.99492,1,0.99957,0.995,0.99058,0.07907,0.13287,0.07159,0.75931,0.001208,0.001208,0.001208
10,7365.22,0.16244,0.20324,0.14071,0.8314,0.99994,0.99981,0.995,0.99494,0.99994,0.99981,0.995,0.99049,0.07411,0.12597,0.06747,0.75827,0.001109,0.001109,0.001109
11,8096.3,0.12411,0.17325,0.11269,0.79047,0.99999,0.99967,0.995,0.99493,0.99999,0.99967,0.995,0.99118,0.07386,0.11984,0.06951,0.75791,0.00101,0.00101,0.00101
12,8793.5,0.11185,0.15381,0.10305,0.7862,0.99991,0.99972,0.995,0.99495,0.99995,0.99962,0.995,0.9918,0.0677,0.11267,0.06502,0.75653,0.000911,0.000911,0.000911
13,9487.63,0.10135,0.14159,0.09226,0.78284,0.9999,0.99972,0.995,0.99495,0.99991,0.99966,0.995,0.99229,0.06406,0.10795,0.05977,0.75585,0.000812,0.000812,0.000812
14,10182.5,0.09718,0.136,0.08905,0.78194,0.99994,0.99967,0.995,0.99497,0.99994,0.99967,0.995,0.99255,0.06242,0.1018,0.05966,0.75525,0.000713,0.000713,0.000713
15,10880,0.0905,0.12806,0.08299,0.78064,0.99995,0.99971,0.995,0.99497,0.99995,0.99971,0.995,0.99278,0.05869,0.0989,0.05476,0.75471,0.000614,0.000614,0.000614
16,11589.2,0.08698,0.12137,0.08097,0.77955,0.99994,0.99977,0.995,0.99497,0.99994,0.99977,0.995,0.99286,0.05841,0.09542,0.05615,0.75444,0.000515,0.000515,0.000515
17,12318.9,0.08123,0.11614,0.0756,0.77895,0.99991,0.99977,0.995,0.99497,0.99991,0.99977,0.995,0.99302,0.05585,0.0917,0.05359,0.754,0.000416,0.000416,0.000416
18,13078.8,0.07611,0.10974,0.07051,0.77745,0.99995,0.9998,0.995,0.99497,0.99995,0.9998,0.995,0.99326,0.05353,0.09021,0.04925,0.75374,0.000317,0.000317,0.000317
19,13813.9,0.07116,0.104,0.06524,0.77666,0.99994,0.99977,0.995,0.99498,0.99994,0.99977,0.995,0.99332,0.05213,0.0881,0.04752,0.75342,0.000218,0.000218,0.000218
20,14514.1,0.06743,0.09961,0.06167,0.77612,0.99995,0.99981,0.995,0.99498,0.99995,0.99981,0.995,0.99326,0.05127,0.08722,0.04666,0.75332,0.000119,0.000119,0.000119
