epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,801.877,0.31436,0.49868,0.42103,0.87585,0.97727,0.99932,0.97937,0.96614,0.97727,0.99932,0.97937,0.93669,0.1917,0.34001,0.19778,0.79717,0.000666333,0.000666333,0.000666333
2,1571.93,0.26661,0.35703,0.26178,0.85553,0.97771,0.99962,0.97876,0.97298,0.97771,0.99962,0.97876,0.95625,0.16239,0.27801,0.16547,0.78313,0.00126702,0.00126702,0.00126702
3,2378.94,0.24107,0.31662,0.23914,0.84877,0.97764,0.9997,0.98196,0.97705,0.97764,0.9997,0.98196,0.96085,0.14073,0.22706,0.15216,0.77895,0.0018017,0.0018017,0.0018017
4,3244.15,0.2233,0.29734,0.22544,0.84407,0.97787,0.99976,0.98262,0.97983,0.97787,0.99976,0.98262,0.9671,0.11592,0.20787,0.13598,0.77229,0.001703,0.001703,0.001703
5,4125.6,0.20614,0.27321,0.2116,0.83978,0.9779,0.99976,0.98161,0.98016,0.9779,0.99976,0.98161,0.96998,0.11058,0.19489,0.13147,0.76933,0.001604,0.001604,0.001604
6,5122.27,0.19402,0.25929,0.20269,0.83673,0.97786,0.99972,0.98212,0.98117,0.97786,0.99972,0.98212,0.97121,0.09808,0.18841,0.12423,0.76582,0.001505,0.001505,0.001505
7,6079.51,0.18521,0.24775,0.19594,0.83496,0.97791,0.99976,0.98294,0.9821,0.97791,0.99976,0.98294,0.97484,0.09081,0.16576,0.11852,0.76471,0.001406,0.001406,0.001406
8,7044.09,0.17722,0.23399,0.19027,0.83367,0.97791,0.99976,0.98395,0.98342,0.97791,0.99976,0.98395,0.97556,0.08359,0.15447,0.11249,0.76312,0.001307,0.001307,0.001307
9,8008.78,0.16987,0.22605,0.18321,0.83218,0.97787,0.99976,0.98351,0.98318,0.97787,0.99976,0.98351,0.97644,0.07922,0.14474,0.10975,0.76184,0.001208,0.001208,0.001208
10,8744.11,0.16476,0.21598,0.17859,0.83043,0.97787,0.99976,0.98562,0.98523,0.97787,0.99976,0.98562,0.97903,0.07676,0.13584,0.10963,0.7613,0.001109,0.001109,0.001109
11,9491.86,0.12248,0.18347,0.14599,0.78769,0.97791,0.99976,0.98541,0.98505,0.97791,0.99976,0.98541,0.97969,0.07338,0.12908,0.10677,0.76056,0.00101,0.00101,0.00101
12,10237.9,0.11064,0.1655,0.13591,0.78525,0.97791,0.99976,0.98524,0.98496,0.97791,0.99976,0.98524,0.9801,0.06856,0.11868,0.10163,0.75948,0.000911,0.000911,0.000911
13,11005.3,0.10205,0.15145,0.13101,0.78304,0.97787,0.9997,0.98571,0.98545,0.97787,0.9997,0.98571,0.98141,0.06491,0.11039,0.10017,0.7586,0.000812,0.000812,0.000812
14,11727.7,0.09549,0.14249,0.12441,0.7806,0.9779,0.99976,0.98585,0.98558,0.9779,0.99976,0.98585,0.98219,0.06185,0.10608,0.09765,0.75809,0.000713,0.000713,0.000713
15,12466,0.08929,0.1336,0.11991,0.78033,0.97791,0.99976,0.98598,0.98579,0.97791,0.99976,0.98598,0.98213,0.05856,0.10181,0.09356,0.75747,0.000614,0.000614,0.000614
16,13198.7,0.08539,0.12923,0.11583,0.78,0.97792,0.99981,0.98692,0.98671,0.97792,0.99981,0.98692,0.98341,0.05726,0.09858,0.09265,0.75743,0.000515,0.000515,0.000515
17,13978.4,0.0795,0.12113,0.11095,0.77757,0.97791,0.99981,0.98739,0.98721,0.97791,0.99981,0.98739,0.98408,0.05502,0.09543,0.09039,0.75685,0.000416,0.000416,0.000416
18,14761.2,0.0753,0.11596,0.10791,0.77621,0.97792,0.9998,0.98778,0.9876,0.97792,0.9998,0.98778,0.98469,0.0535,0.09322,0.08939,0.7566,0.000317,0.000317,0.000317
19,15505.8,0.07091,0.11475,0.10373,0.77599,0.97791,0.99976,0.98782,0.98764,0.97791,0.99976,0.98782,0.98476,0.05238,0.09223,0.08769,0.7563,0.000218,0.000218,0.000218
20,16252.7,0.06742,0.11107,0.10083,0.77597,0.97791,0.99976,0.98798,0.98784,0.97791,0.99976,0.98798,0.9852,0.05138,0.09054,0.08696,0.75608,0.000119,0.000119,0.000119
